id	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8471691	Martin Hanzal 	Center	ARI,PHX	481890	235.521913885	244.95319007	4327	4209	1752	2299	1873	1208	847	74	100.104913544	93.7732979869
8474625	Jimmy Hayes 	Right Wing	FLA,CHI,BOS	128994	71.0047021052	74.3234757697	1202	1286	585	560	497	378	280	36	32.3018528149	32.8478204822
8448772	Claude Lemieux 	Right Wing	S.J	8259	4.1880024327	3.50690032449	84	58	34	51	22	23	17	0	0.815285403281	0.958575308323
8466182	Henrik Tallinder 	Defense	BUF,N.J	454249	250.984224011	242.869003914	4466	4405	1890	2508	1916	475	317	12	13.4198898897	13.0792480484
8466181	Kristian Huselius 	Left Wing	CBJ,CGY	291512	145.755210767	130.445435549	2493	2236	1059	1193	898	820	618	73	62.4253341844	64.7277756613
8474628	Michael Stone 	Defense	ARI,PHX	210672	114.024413195	135.10418111	2086	2214	1032	1086	914	422	273	16	10.8772698222	10.4487077827
8474629	Shawn Lalonde 	Defense	CHI	887	0.517077508382	0.124067587778	9	4	7	2	7	0	0	0	0	0
8467355	Andrew Peters 	Left Wing	N.J,BUF	24014	8.94307426643	12.3206227003	198	242	142	154	90	50	41	1	2.36363154929	2.76105050184
8475729	Mark Alt 	Defense	PHI	565	0.281570452265	0.169891754165	7	3	3	2	3	3	0	0	0.0413352977484	0
8469490	Tim Jackman 	Right Wing	ANA,CGY,NYI	238065	143.19168157	141.703310845	2440	2458	1003	1409	1091	738	547	29	52.370504546	53.1771746203
8468064	Martin Erat 	Right Wing	ARI,WSH,PHX,NSH	546027	279.644731759	282.078929611	4928	4746	2013	2653	2239	1132	835	99	84.3219940364	85.6787868589
8471657	Cody McLeod 	Left Wing	COL	322332	170.565401168	203.989408582	2916	3497	1222	1703	1326	813	626	53	65.8382469108	67.4126298679
8471348	Nikita Nikitin 	Defense	EDM,CBJ,STL	264124	133.362761034	136.895306094	2354	2395	1116	1270	1188	499	343	15	14.2242973782	13.4816321544
8474102	David Perron 	Left Wing	EDM,PIT,STL	486309	252.665769489	241.067693559	4142	3986	1867	2103	1633	1253	935	115	101.347588274	103.266242801
8446788	Sergei Fedorov 	Center	WSH,CBJ	116041	53.4710727939	40.0168071948	1004	745	393	505	364	296	210	18	18.8378539737	18.6353566907
8471346	Kris Versteeg 	Right Wing	CHI,FLA,TOR,PHI,CAR	453790	222.450690543	220.02075488	4179	3763	1962	2041	1389	1191	889	82	77.6970798019	80.3243627818
8475661	Dave Dziurzynski 	Left Wing	OTT	9027	4.98613099102	6.22141104657	89	117	35	51	41	25	20	2	1.80237515736	1.78990231454
8468483	Marian Gaborik 	Right Wing	L.A,CBJ,NYR,MIN	524968	301.566701652	261.001927657	4535	4321	2179	2263	1641	1777	1340	172	150.625123616	152.885794023
8471906	David Brine 	Center	FLA	3195	1.22070168424	1.78119875491	23	39	17	16	10	4	3	0	0.154190540314	0.187477856874
8468485	Raffi Torres 	Left Wing	S.J,PHX,VAN,CBJ,BUF,EDM	277326	142.026993764	159.213038477	2582	2662	1014	1455	1113	726	542	73	53.0422032848	54.8263955778
8472248	Jared Ross 	Center	PHI	5987	2.43853918836	4.16430803854	50	60	24	29	22	19	14	0	1.11577620823	1.05631528981
8475598	Ryan Stanton 	Defense	VAN,CHI	103233	62.5098669734	62.7621897832	1092	1064	541	576	480	152	104	3	3.63003429025	3.86779817007
8475268	Gabriel Bourque 	Left Wing	NSH	166072	101.712860848	94.2785023823	1691	1648	705	919	872	386	275	27	29.8498447537	27.6842898987
8475260	Corban Knight 	Center	CGY	4101	1.90098867845	3.16872423701	37	41	27	19	14	6	4	1	0.193769853562	0.212601374835
8475266	Tomas Vincour 	Center	COL,DAL	54719	28.1604543533	29.2868088866	553	518	266	303	231	141	95	6	8.98290615901	8.00319909491
8475264	Roman Horak 	Left Wing	EDM,CGY	54727	26.7714901501	31.2124404358	444	559	237	275	271	107	80	6	7.27309635933	7.48867860064
8468846	Tyler Sloan 	Defense	WSH	77896	44.0855878694	49.4931651605	760	852	360	437	350	65	48	4	2.2030937504	2.53980221227
8459122	Stephane Yelle 	Center	CAR,COL,BOS,CGY	123370	57.0246359957	64.9141424494	1059	1177	485	753	566	199	145	11	14.0751978075	13.0248457929
8476179	Will Acton 	Right Wing	EDM	12722	4.94921266474	7.12848761585	89	132	40	89	65	27	19	3	1.73892944772	1.60525484756
8476177	Matt Read 	Right Wing	PHI	254228	124.618072562	137.169289582	2180	2317	913	1260	1112	637	431	54	47.5278280331	44.439416687
8462197	Byron Ritchie 	Center	VAN	42684	14.4309586575	24.1454286026	283	455	98	202	209	85	68	3	5.30200202577	5.76794177294
8462196	Stephane Robidas 	Defense	TOR,DAL,ANA	625865	303.359403807	319.942134922	5419	5584	2288	3014	2559	1051	688	33	31.8909968063	30.1657773759
8475461	Andrew Agozzino 	Left Wing	COL	585	0.30632707756	0.5533248391	7	9	5	4	5	2	1	0	0.136138740927	0.0723564326763
8475462	Radko Gudas 	Defense	T.B,PHI	127923	77.7653787741	75.6468094895	1408	1360	587	663	507	260	174	6	6.08405236341	5.81018706132
8462176	Brent Sopel 	Defense	ATL,MTL,CHI	181197	102.579963244	107.37473717	1787	1808	700	830	666	223	152	5	5.61798722576	5.50834061299
8468613	Petteri Nummelin 	Defense	MIN	24662	9.97388510033	11.4205783829	202	222	121	98	70	35	29	1	1.77870362438	2.13787048869
8474884	Mike Hoffman 	Center	OTT	91226	51.2750968141	48.7433555415	884	839	440	433	321	322	235	26	20.5704367282	21.1349568227
8448825	Trevor Linden 	Center	VAN	33934	13.2531218091	19.3969751112	251	372	102	157	170	48	37	6	3.14757494908	3.63138013333
8476819	Jeremy Welsh 	Center	VAN,CAR	10500	5.77314487752	6.04266050644	108	99	56	56	48	25	19	1	1.77615127526	1.82583543472
8476769	Bobby Farnham 	Right Wing	PIT	4736	1.92345346045	2.68663292658	38	42	24	28	19	8	4	0	0.738364847377	0.501715861261
8476765	Mike Halmo 	Left Wing	NYI	11298	7.09368432034	6.97459161747	112	109	60	64	39	29	24	1	2.76744046248	2.99011407793
8474642	Lance Bouma 	Left Wing	CGY	128103	69.3998705437	84.358704593	1202	1425	494	754	796	295	200	20	22.7068340871	21.942973515
8459492	Vinny Prospal 	Left Wing,Center	CBJ,NYR,T.B,PHI	427818	226.905244575	218.18580224	3732	3740	1712	1938	1348	1063	825	96	88.9429819733	93.6248092381
8459493	Marek Malik 	Defense	T.B,NYR	83153	51.6330055548	48.3913957961	843	828	323	491	306	74	49	2	1.97601617966	1.85509002022
8469626	Andrew Alberts 	Defense	VAN,CAR,PHI,BOS	256336	139.406319126	168.892819741	2465	2646	937	1353	1135	246	159	6	5.75161974598	5.33750712592
8465170	Fernando Pisani 	Right Wing	CHI,EDM	146265	70.7695779009	93.7509035533	1279	1688	536	784	705	337	261	29	21.8627983769	23.5267617367
8465175	Dan Hinote 	Right Wing	STL	55605	23.9033882031	34.3945946526	399	590	222	344	270	79	61	6	7.20569071732	7.34586060606
8468463	Mathieu Darche 	Left Wing	MTL,T.B	154550	80.1717727035	73.140945266	1459	1349	621	788	554	413	310	26	31.9344095774	31.7261189027
8465200	Tomas Kaberle 	Defense	MTL,CAR,TOR,BOS	492998	237.896310747	232.134024421	4284	4111	1832	2314	1548	710	495	21	26.8072486799	26.5293898582
8465202	Sami Salo 	Defense	T.B,VAN	435827	202.087438487	211.09510148	3593	3761	1907	2381	1885	812	520	30	24.2009632848	21.713236602
8475917	Jason Akeson 	Right Wing	PHI	7785	2.91897160094	5.04775866214	66	94	28	44	30	16	11	1	0.748166934587	0.715123767033
8478376	Casey Bailey 	Center	TOR	3253	1.62608333677	1.41678760946	35	29	16	13	12	10	9	1	0.491435531527	0.647961487994
8465192	Samuel Pahlsson 	Center	CBJ,VAN,ANA,CHI	288784	136.026614051	165.437137964	2351	2808	938	1733	1693	536	388	19	33.9512709044	34.4213368315
8476435	Alex Khokhlachev 	Center	BOS	2390	0.669276558794	1.26122191176	17	27	15	11	8	3	3	0	0.200798852369	0.272426720709
8473449	Kyle Okposo 	Right Wing	NYI	485672	269.787062729	273.99937455	4294	4228	1882	2084	1690	1429	1032	107	111.880423137	110.676083581
8473444	Jon Matsumoto 	Center	CAR	5754	3.23189438414	3.0529669337	56	60	20	36	31	13	10	2	1.16952391155	1.13996912166
8476967	Brett Kulak 	Defense	CGY	1123	0.667058638297	0.419414484873	11	7	8	10	0	0	0	0	0	0
8473446	Erik Johnson 	Defense	COL,STL	552212	297.516361283	308.485770149	4955	5014	2412	2697	2242	1052	776	40	40.6152848862	43.1754652541
8469455	Jason Spezza 	Center	DAL,OTT	585432	303.419261182	301.862750939	5356	5102	2450	2773	1984	1865	1306	159	130.89780673	129.068216713
8465992	Aaron Downey 	Right Wing	DET	16643	8.00125856511	9.11353450548	163	156	112	71	24	21	17	1	1.14990887418	1.22007629648
8473992	Justin Falk 	Defense	MIN,NYR,CBJ	117312	60.8614148637	76.1088122372	1049	1293	503	576	579	127	87	2	3.29041362461	3.49860192183
8473991	Karl Alzner 	Defense	WSH	446747	243.090003103	246.528701874	4319	4412	2059	2676	2220	485	317	12	11.1632069079	10.238766945
8473997	Luca Caputi 	Left Wing	TOR,PIT	27202	15.3179700272	17.1649492579	271	296	105	119	92	70	51	3	5.97572674416	5.82837176695
8473994	Jamie Benn 	Left Wing	DAL	442220	246.646169445	225.859852232	4062	3848	1931	2322	1583	1492	1048	132	118.842052704	113.224045179
8477214	Conor Allen 	Defense	NYR	5527	2.98776259832	2.58285679761	43	46	32	29	21	5	4	0	0.0913103185594	0.110830206424
8475868	Anthony Bitetto 	Defense	NSH	4933	3.34686032962	3.40350570437	53	54	28	18	17	4	2	0	0.10969151184	0.0830605421215
8473999	Nick Palmieri 	Right Wing	N.J,MIN	65240	32.3766656192	35.3993820595	587	604	296	354	254	178	127	12	14.0252011744	14.0108068865
8469647	Derek Boogaard 	Left Wing	NYR,MIN	50307	22.8640417382	29.4142441526	413	549	225	303	192	73	48	1	6.0466011744	5.25096629746
8467931	Matt Carkner 	Defense	NYI,OTT	182284	120.589840288	109.773872416	1995	1849	846	1007	744	260	190	4	5.74016843084	6.18855524622
8467937	Michael Zigomanis 	Center	TOR,PIT,PHX	32337	12.8379026661	17.2831609603	263	335	123	148	194	71	55	4	4.17106052581	4.57841769047
